publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,36,80.01,75.43,0.943,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,28,79.96,75.08,0.939,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,60,79.66,71.32,0.895,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,62,79.49,78.04,0.982,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,2,79.36,74.90,0.944,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,53,79.32,70.19,0.885,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,52,78.94,73.25,0.928,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,13,78.86,74.81,0.949,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,90,78.60,74.32,0.946,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,50,78.46,68.29,0.870,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,37,78.33,72.22,0.922,,,,,,,,
