publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-27,58.94,51.59,0.875,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-10,58.07,52.15,0.898,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-17,58.04,46.90,0.808,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-20,57.13,44.86,0.785,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-9,56.07,41.35,0.737,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-45,55.44,49.34,0.890,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-89,55.38,39.56,0.714,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-41,55.08,50.09,0.909,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-39,54.88,37.71,0.687,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-25,54.50,44.25,0.812,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-99,53.80,41.81,0.777,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-69,52.72,49.69,0.943,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-65,52.39,42.06,0.803,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-48,52.10,38.69,0.743,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-100,51.63,49.56,0.960,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-78,50.55,42.51,0.841,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-51,50.33,44.96,0.893,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-18,49.98,44.29,0.886,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-12,48.94,39.55,0.808,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-34,48.46,46.79,0.966,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-80,47.97,44.37,0.925,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-16,47.77,36.34,0.761,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-28,46.05,41.11,0.893,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-7,45.04,33.18,0.737,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-85,44.83,33.75,0.753,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-86,43.79,36.15,0.826,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-70,42.31,35.50,0.839,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-76,41.81,39.22,0.938,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-29,41.69,39.70,0.952,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-15,41.61,34.51,0.830,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-1,40.86,35.90,0.879,,,6.15E+14,,35.90,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-94,40.54,36.46,0.899,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-57,39.57,33.21,0.839,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-42,39.36,27.65,0.702,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-75,39.01,33.22,0.851,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-56,38.99,28.60,0.734,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-3,38.85,40.76,1.049,,,4.49E+14,,41.50,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-62,38.65,29.78,0.771,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-67,37.70,55.39,1.469,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-95,37.39,34.38,0.919,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-31,36.31,35.18,0.969,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-90,36.08,35.87,0.994,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-24,35.16,31.78,0.904,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-47,33.88,27.78,0.820,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-58,33.56,28.28,0.843,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-93,32.75,34.23,1.045,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-66,32.55,30.08,0.924,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-97,32.55,30.71,0.943,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-88,31.80,25.08,0.789,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-92,31.44,24.93,0.793,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-77,31.40,24.29,0.774,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-81,28.84,25.97,0.901,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-32,28.55,19.82,0.694,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-13,28.20,23.08,0.818,,,7.14E+14,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-30,28.10,23.13,0.823,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-19,26.37,21.51,0.816,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-72,25.81,24.58,0.952,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-44,24.58,22.20,0.903,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-36,22.23,14.67,0.660,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L5-59,21.93,15.81,0.721,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-35,73.46,63.15,0.860,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-1,71.93,58.75,0.817,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-82,71.89,62.33,0.867,,,5.27E+14,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-89,70.94,45.86,0.646,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-48,70.46,59.98,0.851,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-8,68.27,51.47,0.754,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-90,65.18,53.39,0.819,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-85,64.87,52.88,0.815,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-78,64.37,56.90,0.884,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-9,64.36,52.76,0.820,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-34,64.32,54.46,0.847,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-88,64.12,31.82,0.496,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-15,63.17,52.93,0.838,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-20,62.94,50.47,0.802,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-83,62.17,49.18,0.791,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-96,61.87,57.40,0.928,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-6,61.75,55.31,0.896,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-27,61.51,44.10,0.717,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-40,61.42,46.85,0.763,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-4,61.29,35.66,0.582,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-41,60.80,49.88,0.820,,,1.54E+14,,36.20,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-25,60.75,53.00,0.872,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-42,60.45,49.93,0.826,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-51,60.34,49.04,0.813,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-72,59.80,51.79,0.866,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-97,59.21,39.12,0.661,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-37,59.09,52.67,0.891,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-53,58.78,44.83,0.763,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-47,58.74,46.09,0.785,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-58,58.72,46.52,0.792,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-99,58.57,47.75,0.815,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-69,58.41,50.06,0.857,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-61,58.37,48.19,0.826,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-5,58.36,48.05,0.823,,,1.90E+14,,45.90,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-19,58.29,48.20,0.827,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-77,58.16,41.18,0.708,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-76,56.85,45.49,0.800,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-66,56.61,38.13,0.674,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-11,56.24,41.65,0.741,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-65,56.23,39.06,0.695,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-60,56.22,43.99,0.782,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-2,55.84,48.17,0.863,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-46,55.77,44.68,0.801,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-33,55.33,46.76,0.845,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-28,54.63,48.32,0.884,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-100,54.58,45.62,0.836,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-63,54.54,44.81,0.822,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-30,54.12,40.86,0.755,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-94,53.47,43.72,0.818,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-57,53.22,44.33,0.833,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-22,52.45,40.65,0.775,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-81,52.28,39.33,0.752,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-7,51.45,42.32,0.822,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-86,51.00,40.76,0.799,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-50,50.04,36.17,0.723,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-36,49.79,42.49,0.853,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-14,49.48,40.73,0.823,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-18,49.23,36.45,0.741,,,,,,,,
"Vona et al., 2020",Somma-Vesuvius,472 AD Pollena Subplinian eruption ,https://doi.org/10.1016/j.lithos.2020.105658,Foidite,,,,,,Scoria,Subaerial,Explosive,L6-95,49.22,40.83,0.829,,,,,,,,
